"id" "sexo" "EstadoCivil" "DataNascimento" "DataIngresso" "carreira" "BaseCalculoMensal" "QntDependentes" "idade" "temposervico"
"30" 302 "masculino" "solteir" 1956-10-04 2001-10-01 "OPERAD. MÁQ. PESADAS" 1097.09 0 63 18
"31" 239 "feminino" "divorciad" 1956-10-19 2001-05-07 "AUX. ENFERMAGEM" 1144.82 0 63 18
"32" 26 "masculino" "uniaoestavel" 1956-10-27 1991-10-05 "AG. COM. SAÚDE" 1267.55 1 63 28
"33" 329 "masculino" "divorciad" 1957-01-06 2003-02-03 "GARI" 1192.5 0 63 17
"34" 32 "masculino" "uniaoestavel" 1957-05-01 1998-01-01 "MOTORISTA" 1144.82 1 62 22
"35" 3 "masculino" "casad" 1957-05-13 1983-03-01 "AGENTE ADM." 3605.43 1 62 36
"36" 66 "feminino" "solteir" 1957-05-13 1998-01-01 "PROFESSOR" 2599.09 0 62 22
"37" 103 "feminino" "casad" 1957-06-24 1999-02-01 "PROFESSORA" 3586.82 1 62 21
"38" 328 "masculino" "uniaoestavel" 1957-09-10 2003-02-03 "GARI" 1047.27 1 62 17
"39" 430 "masculino" "casad" 1957-09-11 2005-04-01 "OPER. MÁQ. PESADAS" 1049.36 1 62 14
"40" 30 "feminino" "uniaoestavel" 1957-10-18 1998-01-01 "AUX. SERV. GER." 1144.8 1 62 22
"41" 159 "feminino" "casad" 1957-12-11 2001-02-09 "PROFESSORA" 3929.88 1 62 19
"42" 331 "masculino" "casad" 1957-12-20 2003-02-03 "GARI" 1097.09 1 62 17
"43" 141 "feminino" "casad" 1958-02-15 2001-02-09 "PROFESSOR" 3452.74 1 62 19
"44" 201 "feminino" "solteir" 1958-03-08 2001-02-09 "PROFESSOR" 3742.73 0 61 19
"45" 600 "feminino" "casad" 1958-04-22 2010-10-01 "GARI" 1001.7 1 61 9
"46" 267 "feminino" "solteir" 1958-10-22 2001-05-08 "AUX. SERV. GER." 1094.55 0 61 18
"47" 419 "feminino" "solteir" 1958-11-09 2005-02-21 "AUX. SERV. GER." 1049.36 0 61 14
"48" 238 "feminino" "casad" 1959-04-19 2001-05-07 "AUX. ENFERMAGEM" 1097.09 1 60 18
"49" 209 "feminino" "casad" 1959-07-17 2001-02-09 "PROFESSOR" 3742.73 1 60 19
"50" 296 "masculino" "casad" 1959-07-30 2001-09-03 "MOTORISTA" 1097.09 1 60 18
"51" 604 "masculino" "solteir" 1959-08-03 NA "GARI" NA 0 60 NA
"52" 429 "masculino" "casad" 1959-08-10 2005-03-07 "AUX. ESTATÍSTICA" 1049.36 2 60 14
"53" 64 "feminino" "casad" 1959-09-25 1998-01-01 "AUX. SERV. GER." 1192.5 0 60 22
"54" 35 "feminino" "solteir" 1959-10-24 1998-01-01 "ASSIST. SOCIAL" 1950 0 60 22
"55" 78 "feminino" "uniaoestavel" 1959-10-27 1998-01-01 "AUX. CONTABILIDADE" 1144.8 1 60 22
"56" 462 "masculino" "uniaoestavel" 1959-11-05 2007-08-03 "GARI" 1051.64 2 60 12
"57" 139 "feminino" "uniaoestavel" 1959-11-12 2001-02-09 "PROFESSORA" 3118.91 1 60 19
"58" 505 "masculino" "casad" 1960-01-05 2007-10-01 "GARI" 1049.36 1 60 12
"59" 117 "masculino" "divorciad" 1960-01-19 2000-02-01 "PROFESSOR" 3742.73 0 60 20
"60" 366 "masculino" "uniaoestavel" 1960-01-20 2003-02-03 "GARI" 1047.27 2 60 17
"61" 360 "feminino" "solteir" 1960-01-25 2003-02-03 "AUX. ENFERMAGEM" 1144.82 0 60 17
"62" 369 "feminino" "solteir" 1960-02-20 2003-02-10 "PROFESSOR" 4099.18 1 60 17
"63" 49 "feminino" "viuv" 1960-04-30 1998-01-01 "PROFESSORA" 3118.91 0 59 22
"64" 248 "feminino" "casad" 1960-05-05 2001-05-08 "AUX. SERV. GER." 1097.09 1 59 18
"65" 158 "masculino" "casad" 1960-05-18 2001-02-09 "PROFESSOR" 3415.99 1 59 19
"66" 8 "masculino" "solteir" 1960-05-28 1983-09-01 "ASSIST. SERV." 1287.9 0 59 36
"67" 143 "feminino" "uniaoestavel" 1960-05-28 2001-02-09 "PROFESSORA" 3742.73 1 59 19
"68" 303 "masculino" "uniaoestavel" 1960-06-14 2001-10-01 "OPERAD. MÁQ. PESADAS" 1097.09 2 59 18
"69" 236 "feminino" "viuv" 1960-06-26 2001-05-07 "AUX. ENFERMAGEM" 1192.55 0 59 18
"70" 362 "feminino" "casad" 1960-07-16 2003-02-03 "GARI" 1097.09 1 59 17
"71" 45 "masculino" "casad" 1960-08-30 1998-01-01 "MOTORISTA" 1144.82 1 59 22
"72" 196 "feminino" "casad" 1960-09-25 2001-02-09 "PROFESSOR" 3415.99 1 59 19
"73" 93 "masculino" "casad" 1960-10-19 1998-05-25 "AG. COM. SAÚDE" 1216.82 1 59 21
"74" 426 "feminino" "casad" 1960-10-25 2005-03-07 "AUX. ESTATÍSTICA" 1049.36 1 59 14
"75" 52 "feminino" "casad" 1960-11-01 1998-01-01 "ENFERMEIRO" 1400 1 59 22
"76" 6 "masculino" "casad" 1960-12-28 1983-09-01 "AGENTE ADM." 3106.71 2 59 36
"77" 375 "masculino" "casad" 1961-01-05 2003-09-12 "AG. PORTARIA" 1097.09 1 59 16
"78" 295 "masculino" "uniaoestavel" 1961-01-06 2001-09-03 "MOTORISTA" 1144.82 1 59 18
"79" 456 "feminino" "solteir" 1961-01-11 2007-08-01 "AGENTE ADM." 1049.36 0 59 12
"80" 56 "feminino" "divorciad" 1961-03-16 1998-01-01 "PROFESSOR" 3274.9 0 58 22
"81" 174 "feminino" "solteir" 1961-07-28 2001-02-09 "PROFESSORA" 3929.88 0 58 19
"82" 51 "masculino" "solteir" 1961-08-20 1998-01-01 "PROFESSOR" 3586.79 2 58 22
"83" 298 "masculino" "solteir" 1961-11-11 2001-09-03 "MOTORISTA" 1097.09 1 58 18
"84" 181 "feminino" "casad" 1961-11-21 2001-02-09 "PROFESSORA" 3415.99 1 58 19
"85" 460 "masculino" "casad" 1961-12-06 2007-08-03 "GARI" 1049.36 1 58 12
"86" 211 "feminino" "casad" 1962-01-20 2001-02-09 "PROFESSOR" 3742.73 1 58 19
"87" 414 "feminino" "casad" 1962-03-21 2005-02-01 "AUX. ENFERMAGEM" 1097.09 1 57 15
"88" 232 "feminino" "casad" 1962-04-14 2001-05-03 "AUX. ENFERMAGEM" 1144.82 1 57 18
"89" 553 "masculino" "uniaoestavel" 1962-04-16 2009-05-04 "TEC. RAIO X" 1001.73 1 57 10
"90" 216 "masculino" "casad" 1962-04-28 2001-02-09 "PROFESSOR" 3415.99 3 57 19
"91" 75 "feminino" "casad" 1962-05-15 1998-01-01 "PROFESSOR" 3742.73 1 57 22
"92" 63 "feminino" "casad" 1962-06-15 1998-01-01 "PROFESSOR" 4093.63 1 57 22
"93" 12 "feminino" "casad" 1962-07-13 1983-12-01 "AGENTE ADM." 1287.91 1 57 36
"94" 284 "masculino" "casad" 1962-07-30 2001-08-10 "SEC. DE ESCOLAS" 1097.09 1 57 18
"95" 85 "feminino" "solteir" 1962-08-09 1998-02-09 "PROFESSORA" 3742.73 0 57 22
"96" 17 "feminino" "casad" 1962-08-20 1988-10-15 "AGENTE ADMINISTRATIVO" 1876.71 2 57 31
"97" 493 "feminino" "divorciad" 1962-09-11 2007-09-03 "ENFERMEIRO" 1300 0 57 12
"98" 355 "feminino" "solteir" 1962-09-26 2003-02-03 "AUX. ENFERMAGEM" 1144.82 0 57 17
"99" 544 "feminino" "casad" 1962-09-27 2009-01-07 "AGENTE ADM." 1001.7 1 57 11
"100" 402 "masculino" "casad" 1962-11-11 2004-03-22 "GARI" 1049.36 1 57 15
"101" 130 "feminino" "solteir" 1962-12-07 2001-02-09 "PROFESSORA" 3742.73 1 57 19
"102" 107 "feminino" "casad" 1963-01-16 1999-06-01 "AUX. SERV. GER." 1097.09 1 57 20
"103" 87 "masculino" "casad" 1963-01-20 1998-04-01 "AG. PORTARIA" 1144.8 1 57 21
"104" 413 "feminino" "solteir" 1963-03-15 2005-02-01 "PROFESSOR" 3111.88 0 56 15
"105" 96 "feminino" "casad" 1963-04-27 1998-05-25 "AG. COM. SAÚDE" 1267.55 1 56 21
"106" 164 "feminino" "casad" 1963-05-10 2001-02-09 "PROFESSORA" 3415.99 2 56 19
"107" 292 "feminino" "uniaoestavel" 1963-05-29 2001-08-10 "FARMAC/BIOQUÍMICO" 1350 1 56 18
"108" 417 "masculino" "solteir" 1963-06-07 2005-02-21 "AG. PORTARIA" 1049.36 1 56 14
"109" 1 "masculino" "casad" 1963-06-08 1983-03-01 "TEC. CONTABILIDADE" 5541.18 2 56 36
"110" 550 "masculino" "casad" 1963-06-08 2009-02-09 "PROFESSOR" 3564.52 2 56 11
"111" 101 "masculino" "casad" 1963-06-27 1998-09-01 "AG. PORTARIA" 1144.8 1 56 21
"112" 326 "feminino" "solteir" 1963-06-27 2002-11-01 "AUX. ENFERMAGEM" 1097.09 0 56 17
"113" 341 "masculino" "casad" 1963-06-30 2003-02-03 "GARI" 1097.1 1 56 17
"114" 166 "feminino" "casad" 1963-07-20 2001-02-09 "PROFESSORA" 3742.73 1 56 19
"115" 249 "masculino" "casad" 1963-09-01 2001-05-08 "AUX. SERV. GER." 1097.09 1 56 18
"116" 215 "feminino" "solteir" 1963-09-11 2001-02-09 "PROFESSOR" 3742.73 0 56 19
"117" 312 "masculino" "uniaoestavel" 1963-09-22 2002-03-18 "MOTORISTA" 1097.09 1 56 17
"118" 62 "feminino" "casad" 1963-11-04 1998-01-01 "ASSIST. SERVIÇO" 1144.82 1 56 22
"119" 372 "feminino" "solteir" 1963-11-22 2003-06-03 "AUX. SERV. GER." 1030.7 1 56 16
"120" 294 "masculino" "casad" 1963-11-26 2001-09-03 "MOTORISTA" 1093.45 1 56 18
"121" 474 "feminino" "solteir" 1964-01-03 2007-09-03 "ASSIST. SOCIAL" 1100 0 56 12
"122" 227 "feminino" "viuv" 1964-01-10 2001-05-02 "PROFESSORA" 3416 1 56 18
"123" 113 "masculino" "solteir" 1964-01-11 1999-10-01 "AG. COM. SAÚDE" 1216.82 0 56 20
"124" 80 "feminino" "uniaoestavel" 1964-03-06 1998-01-01 "PROFESSOR" 3742.73 2 55 22
"125" 534 "masculino" "casad" 1964-04-25 2008-05-02 "AG. PORTARIA" 1049.36 1 55 11
"126" 231 "feminino" "solteir" 1964-05-18 2001-05-02 "PROFESSOR" 3742.73 1 55 18
"127" 343 "masculino" "divorciad" 1964-05-27 2003-02-03 "GARI" 1097.09 0 55 17
"128" 404 "feminino" "casad" 1964-06-05 2004-05-31 "PROFESSOR" 2593.23 1 55 15
"129" 391 "feminino" "casad" 1964-08-05 2004-01-27 "PROFESSORA" 3415.99 2 55 16
"130" 88 "feminino" "divorciad" 1964-09-06 1998-05-01 "AUX. SERV. GER." 1144.8 0 55 21
"131" 47 "feminino" "divorciad" 1964-09-10 1998-01-01 "PROFESSORA" 3742.73 1 55 22
"132" 118 "feminino" "casad" 1964-09-18 2001-01-02 "PROFESSOR" 4093.64 2 55 19
"133" 44 "masculino" "casad" 1964-10-07 1998-01-01 "PROFESSOR" 3742.73 1 55 22
"134" 283 "feminino" "divorciad" 1964-10-10 2001-08-10 "FISIOTERAPEUTA" 1450 1 55 18
"135" 270 "feminino" "solteir" 1964-10-23 2001-05-09 "AUX. SERV. GER." 1097.09 0 55 18
"136" 428 "feminino" "sepjudicialmente" 1964-12-03 2005-03-07 "AUX. SERV. GER." 1049.36 0 55 14
"137" 217 "feminino" "solteir" 1965-03-12 2001-02-09 "PROFESSOR" 3415.99 0 54 19
"138" 479 "masculino" "casad" 1965-03-19 2007-09-03 "GARI" 1049.36 1 54 12
"139" 368 "masculino" "casad" 1965-03-25 2003-02-08 "AG. PORTARIA" 1097.09 2 54 17
"140" 252 "feminino" "uniaoestavel" 1965-03-28 2001-05-08 "AUX.SERV.GER." 1097.09 1 54 18
"141" 7 "feminino" "uniaoestavel" 1965-04-02 1983-09-01 "SUPORT. PEDAGÓGICO" 4642.18 1 54 36
"142" 220 "masculino" "casad" 1965-04-09 2001-03-15 "AG. PORTARIA" 1144.8 2 54 18
"143" 282 "masculino" "solteir" 1965-04-23 2001-08-10 "FISCAL DE TRIBUTOS" 1097.09 0 54 18
"144" 74 "feminino" "divorciad" 1965-04-28 1998-01-01 "PROFESSOR" 3742.73 0 54 22
"145" 427 "feminino" "casad" 1965-06-03 2005-03-07 "AUX. SERV. GER." 1049.36 1 54 14
"146" 330 "feminino" "sepjudicialmente" 1965-06-28 2003-02-03 "GARI" 997.36 0 54 17
"147" 151 "feminino" "divorciad" 1965-07-27 2001-02-09 "PROFESSORA" 3742.73 0 54 19
"148" 18 "masculino" "casad" 1965-10-10 1990-03-15 "PROFESSOR" 2599.09 1 54 29
"149" 446 "feminino" "casad" 1965-11-17 2006-12-05 "AUXILIAR DE SERVIÇOS GERAIS" 1067.97 1 54 13
"150" 395 "masculino" "casad" 1965-11-21 2004-02-02 "PROFESSOR" 3267.45 1 54 16
"151" 472 "feminino" "viuv" 1965-11-29 2007-09-03 "ASSIST. SOCIAL" 0 0 54 12
"152" 60 "feminino" "casad" 1965-12-25 1998-01-01 "ASSIST. SERVIÇO" 1144.8 1 54 22
"153" 266 "masculino" "solteir" 1966-01-01 2001-05-08 "AG. PORTARIA" 1097.09 0 54 18
"154" 357 "feminino" "solteir" 1966-01-12 2003-02-03 "GARI" 1097.09 0 54 17
"155" 229 "feminino" "casad" 1966-01-19 2001-05-02 "PROFESSOR" 2846.64 1 54 18
"156" 41 "feminino" "viuv" 1966-03-02 1998-01-01 "AUX. SERV. GER." 1192.5 0 54 22
"157" 514 "feminino" "solteir" 1966-03-06 2007-11-01 "AUX. SERV. GER." 1049.36 3 53 12
"158" 515 "feminino" "casad" 1966-05-08 2007-11-01 "AUX. SERV. GER." 1049.36 1 53 12
"159" 37 "feminino" "divorciad" 1966-05-14 1998-01-01 "SUPORT. PEDAGÓGICO" 4491.27 1 53 22
"160" 202 "feminino" "sepjudicialmente" 1966-06-02 2001-02-09 "PROFESSOR" 3742.73 0 53 19
"161" 2 "feminino" "solteir" 1966-06-03 1983-03-01 "PROFESSORA" 3223.73 0 53 36
"162" 114 "masculino" "casad" 1966-06-08 1999-10-01 "AG. COM. SAÚDE" 1166.09 1 53 20
"163" 483 "masculino" "casad" 1966-06-08 2007-09-03 "GARI" 477 1 53 12
"164" 373 "feminino" "viuv" 1966-06-20 2003-08-04 "AUX. SERV. GER." 1097.09 1 53 16
"165" 115 "masculino" "casad" 1966-07-22 1999-10-01 "AG. COM. SAÚDE" 1166.09 2 53 20
"166" 276 "feminino" "casad" 1966-10-09 2001-06-19 "AUX. SERV. GER." 1097.09 2 53 18
"167" 99 "feminino" "solteir" 1966-10-26 1998-05-25 "AG. COM. SAÚDE" 1216.82 1 53 21
"168" 309 "feminino" "casad" 1966-11-10 2002-02-01 "AUX. SERV. GER." 1097.09 3 53 18
"169" 192 "feminino" "solteir" 1966-11-30 2001-02-09 "PROFESSOR" 2846.64 2 53 19
"170" 513 "masculino" "divorciad" 1967-03-18 2007-11-01 "VETERINÁRIO" 1049.36 1 52 12
"171" 346 "feminino" "viuv" 1967-03-22 2003-02-03 "GARI" 1097.09 0 52 17
"172" 83 "masculino" "solteir" 1967-05-15 1998-01-02 "AG. COM. SAÚDE" 1267.55 0 52 22
"173" 374 "feminino" "uniaoestavel" 1967-05-24 2003-08-06 "AUX. SERV. GER." 1097.09 3 52 16
"174" 90 "masculino" "divorciad" 1967-05-26 1998-05-01 "AG. PORTARIA" 1144.82 0 52 21
"175" 611 "feminino" "casad" 1967-06-30 2010-12-13 "ATEND. CONSULT. ODONT." 1001.73 1 52 9
"176" 268 "masculino" "casad" 1967-07-02 2001-05-08 "AG. PORTARIA" 1097.09 2 52 18
"177" 82 "masculino" "casad" 1967-08-02 1998-01-01 "AG. PORTARIA" 1144.8 2 52 22
"178" 370 "masculino" "casad" 1967-09-06 2003-02-24 "MOTORISTA" 1097.09 1 52 16
"179" 351 "masculino" "casad" 1967-09-07 2003-02-03 "GARI" 1097.09 3 52 17
"180" 631 "masculino" "uniaoestavel" 1967-11-03 2012-02-01 "AG. COM. SAÚDE" 1064.73 2 52 8
"181" 42 "feminino" "casad" 1967-11-17 1998-01-01 "AUX. SERV. GER." 1192.5 1 52 22
"182" 255 "feminino" "divorciad" 1967-12-20 2001-05-08 "AUX. SERV. GER." 1097.09 0 52 18
"183" 40 "feminino" "solteir" 1968-01-12 1998-01-01 "AUX. SERV. GER." 1099.36 1 52 22
"184" 567 "feminino" "casad" 1968-02-03 2010-01-07 "AUX. SERV. GER." 1001.73 1 52 10
"185" 69 "feminino" "casad" 1968-02-08 1998-01-01 "PROFESSOR" 3742.73 1 52 22
"186" 291 "masculino" "casad" 1968-03-22 2001-08-10 "OPERADOR DE MICRO" 1097.09 2 51 18
"187" 214 "feminino" "viuv" 1968-05-16 2001-02-09 "PROFESSOR" 3415.99 1 51 19
"188" 371 "masculino" "casad" 1968-05-21 2003-03-10 "AG. PORTARIA" 1097.09 2 51 16
"189" 332 "feminino" "solteir" 1968-05-22 2003-02-03 "GARI" 1097.09 0 51 17
"190" 182 "masculino" "divorciad" 1968-06-03 2001-02-09 "PROFESSOR" 3415.99 1 51 19
"191" 244 "feminino" "solteir" 1968-06-10 2001-05-07 "AUX. ENFERMAGEM" 1144.82 1 51 18
"192" 94 "masculino" "casad" 1968-06-16 1998-05-25 "AG. COM. SAÚDE" 1216.82 2 51 21
"193" 297 "masculino" "casad" 1968-09-01 2001-09-03 "MOTORISTA" 1144.82 1 51 18
"194" 25 "masculino" "casad" 1968-09-17 1991-10-05 "AGENTE DE PORTARIA" 1097.09 2 51 28
"195" 19 "feminino" "uniaoestavel" 1968-09-25 1990-03-15 "PROFESSOR" 3104.34 2 51 29
"196" 398 "feminino" "uniaoestavel" 1968-10-17 2004-03-01 "AUX. ENFERMAGEM" 1049.36 1 51 15
"197" 191 "feminino" "solteir" 1968-11-05 2001-02-09 "PROFESSOR" 3742.73 0 51 19
"198" 485 "masculino" "casad" 1968-11-08 2007-09-03 "GARI" 1049.36 2 51 12
"199" 100 "feminino" "divorciad" 1968-11-14 1998-05-25 "AG. COM. SAÚDE" 1216.8 0 51 21
"200" 195 "feminino" "casad" 1968-12-17 2001-02-09 "PROFESSOR" 3415.99 3 51 19
"201" 547 "feminino" "viuv" 1969-01-10 2009-01-07 "ATEND. DE CONSLT. ODONT." 1049.36 0 51 11
"202" 545 "feminino" "divorciad" 1969-01-19 2009-01-07 "ATEND. CONSULT. ODONT." 1001.73 1 51 11
"203" 22 "feminino" "solteir" 1969-01-24 1991-10-05 "AG. COM. SAÚDE" 1267.55 0 51 28
"204" 173 "feminino" "solteir" 1969-01-24 2001-02-09 "PROFESSORA" 3742.73 0 51 19
"205" 338 "masculino" "solteir" 1969-02-03 2003-02-03 "GARI" 1097.09 1 51 17
"206" 420 "feminino" "solteir" 1969-02-20 2005-02-21 "PROFESSOR" 3111.88 2 51 14
"207" 565 "feminino" "casad" 1969-02-28 2010-01-07 "AUX. SERV. GER." 1001.7 0 51 10
"208" 169 "feminino" "divorciad" 1969-03-03 2001-02-09 "PROFESSORA" 3742.73 1 50 19
"209" 14 "feminino" "divorciad" 1969-03-04 1985-09-01 "AUX. SERV. GER" 1240.18 1 50 34
"210" 124 "feminino" "divorciad" 1969-03-09 2001-01-09 "AUX. SERV. GER." 1097.09 0 50 19
"211" 153 "feminino" "casad" 1969-03-11 2001-02-09 "PROFESSORA" 3586.82 1 50 19
"212" 399 "feminino" "uniaoestavel" 1969-03-14 2004-03-01 "PROFESSORA" 3586.79 2 50 15
"213" 219 "masculino" "casad" 1969-03-31 2001-03-01 "AG. PORTARIA" 1097.09 1 50 18
"214" 240 "feminino" "solteir" 1969-04-01 2001-05-07 "AUX. ENFERMAGEM" 1144.82 0 50 18
"215" 422 "feminino" "casad" 1969-04-07 2005-03-01 "AUX. ESTATÍSTICA" 1049.36 2 50 14
"216" 15 "feminino" "divorciad" 1969-05-13 1986-03-01 "PROFESSOR" 4470.25 1 50 33
"217" 594 "masculino" "solteir" 1969-06-06 2010-07-07 "TEC. ENFERMAGEM" 1001.73 0 50 9
"218" 263 "masculino" "casad" 1969-07-24 2001-05-08 "AG. PORTARIA" 1097.09 1 50 18
"219" 71 "feminino" "solteir" 1969-08-04 1998-01-01 "PROFESSOR" 4491.27 0 50 22
"220" 247 "feminino" "uniaoestavel" 1969-08-10 2001-05-07 "FARMAC/BIOQUIMICO" 1150 3 50 18
"221" 16 "feminino" "casad" 1969-08-19 1988-03-01 "PROFESSOR" 4470.25 1 50 31
"222" 11 "feminino" "uniaoestavel" 1969-09-23 1983-11-30 "PROFESSOR" 2525.88 2 50 36
"223" 27 "feminino" "uniaoestavel" 1969-10-29 1995-01-02 "AG. COM. SAÚDE" 1216.82 1 50 25
"224" 696 "feminino" "casad" 1969-10-30 2015-09-08 "TEC. EM ENFERMAGEM" 954 1 50 4
"225" 128 "feminino" "casad" 1969-11-02 2001-01-15 "AGENTE ADM." 1097.09 3 50 19
"226" 333 "masculino" "solteir" 1969-11-18 2003-02-03 "GARI" 1128.81 1 50 17
"227" 321 "feminino" "casad" 1969-11-22 2002-06-27 "PROFESSORA" 4099.18 2 50 17
"228" 31 "masculino" "casad" 1969-12-06 1998-01-01 "PROFESSOR" 3742.73 1 50 22
"229" 317 "feminino" "casad" 1969-12-08 2002-05-27 "ASSIST. SERVIÇO" 1144.8 2 50 17
"230" 144 "feminino" "solteir" 1969-12-20 2001-02-09 "PROFESSORA" 3929.88 0 50 19
"231" 410 "feminino" "casad" 1970-01-04 2005-02-01 "PROFESSOR" 3416 1 50 15
"232" 186 "feminino" "solteir" 1970-02-02 2001-02-09 "PROFESSOR" 3742.73 0 50 19
"233" 165 "masculino" "uniaoestavel" 1970-02-15 2001-02-09 "PROFESSOR" 4099.18 3 50 19
"234" 176 "feminino" "casad" 1970-02-21 2001-02-09 "PROFESSORA" 3415.99 2 50 19
"235" 198 "feminino" "casad" 1970-03-13 2001-02-09 "PROFESSOR" 3415.99 4 49 19
"236" 588 "masculino" "casad" 1970-03-16 2010-06-14 "ELETRICISTA" 1001.73 3 49 9
"237" 50 "masculino" "casad" 1970-04-15 1998-01-01 "AUX. SERV. GER." 1192.5 1 49 22
"238" 412 "feminino" "casad" 1970-04-24 2005-02-01 "PROFESSOR" 3111.88 1 49 15
"239" 595 "masculino" "solteir" 1970-04-24 2010-08-02 "SEC. DE ESCOLAS" 1001.73 3 49 9
"240" 233 "feminino" "solteir" 1970-04-30 2001-05-06 "AUX. SERV. GER." 1097.09 0 49 18
"241" 156 "feminino" "casad" 1970-05-01 2001-02-09 "SUPORT. PEDAGÓGICO" 3415.99 2 49 19
"242" 390 "feminino" "solteir" 1970-05-01 2004-01-08 "AUX. SERV. GER." 1049.36 0 49 16
"243" 601 "masculino" "solteir" 1970-05-28 2010-11-04 "GARI" 1001.73 1 49 9
"244" 667 "feminino" "sepjudicialmente" 1970-06-19 2015-05-04 "PROFESSORA" 2703.36 0 49 4
"245" 659 "feminino" "sepjudicialmente" 1970-06-26 2015-04-20 "PROFESSORA" 2245.18 1 49 4
"246" 285 "masculino" "casad" 1970-07-10 2001-08-10 "SEC. ESCOLAS" 1097.09 2 49 18
"247" 218 "feminino" "casad" 1970-07-12 2001-02-09 "PROFESSOR" 3415.99 4 49 19
"248" 602 "feminino" "solteir" 1970-08-05 2010-11-04 "GARI" 1001.7 0 49 9
"249" 134 "feminino" "divorciad" 1970-10-10 2001-02-09 "PROFESSORA" 3742.73 1 49 19
"250" 111 "feminino" "casad" 1970-11-15 1999-09-30 "AG. COM. SAÚDE" 1166.09 2 49 20
"251" 146 "feminino" "casad" 1970-11-15 2001-02-09 "PROFESSORA" 3415.99 2 49 19
"252" 642 "masculino" "casad" 1970-11-15 2015-04-06 "CONDUTOR SOCORRISTA" 954 2 49 4
"253" 480 "feminino" "solteir" 1970-12-12 2007-09-03 "PSICÓLOGO" 1300 1 49 12
"254" 590 "feminino" "casad" 1971-01-12 2010-07-01 "AUX. ADIMINISTRATIVO" 1001.7 2 49 9
"255" 119 "masculino" "uniaoestavel" 1971-01-15 2001-01-02 "AUX. SANEAMENTO" 1049.36 3 49 19
"256" 510 "feminino" "divorciad" 1971-01-23 2007-10-18 "RECEP/TELEFONISTA" 1049.36 0 49 12
"257" 86 "masculino" "casad" 1971-01-24 1998-03-02 "MOTORISTA" 1144.82 2 49 21
